pupilId,subscription_type,subscription_start_date,subscription_end_date,codeCountry
13358,Annual,2012-11-10,2013-11-10,GBR
13359,Annual,2012-11-10,2013-11-10,GBR
6655,Annual,2013-05-13,2014-05-13,GBR
20940,Monthly,2013-08-20,2013-09-20,GBR
20940,Monthly,2013-09-20,2013-10-20,GBR
20940,Monthly,2013-10-20,2013-11-20,GBR
20940,Monthly,2013-11-20,2013-12-20,GBR
20940,Monthly,2013-12-20,2014-01-20,GBR
20940,Monthly,2014-01-20,2014-02-20,GBR
20940,Monthly,2014-02-20,2014-03-20,GBR
20940,Monthly,2014-03-20,2014-04-20,GBR
20940,Monthly,2014-04-20,2014-05-20,GBR
20940,Monthly,2014-05-20,2014-06-20,GBR
20940,Monthly,2014-06-20,2014-07-20,GBR
20940,Monthly,2014-07-20,2014-08-20,GBR
20940,Monthly,2014-08-20,2014-09-20,GBR
20940,Monthly,2014-09-20,2014-10-20,GBR
20940,Monthly,2014-10-20,2014-11-20,GBR
20940,Monthly,2014-11-20,2014-12-20,GBR
20940,Monthly,2014-12-20,2015-01-20,GBR
20940,Monthly,2015-01-20,2015-02-20,GBR
20940,Monthly,2015-02-20,2015-03-20,GBR
20940,Monthly,2015-03-20,2015-04-20,GBR
20940,Monthly,2015-04-20,2015-05-20,GBR
20940,Monthly,2015-05-20,2015-06-20,GBR
20940,Monthly,2015-06-20,2015-07-20,GBR
20940,Monthly,2015-07-20,2015-08-20,GBR
20940,Monthly,2015-08-20,2015-09-20,GBR
10738,Annual,2011-09-28,2012-10-12,GBR
10738,Annual,2012-11-30,2013-11-30,GBR
7611,Monthly,2012-08-01,2012-09-01,GBR
7611,Monthly,2012-09-01,2012-10-01,GBR
7611,Monthly,2012-10-01,2012-11-01,GBR
7611,Monthly,2012-11-01,2012-12-01,GBR
7611,Monthly,2012-12-01,2013-01-01,GBR
7611,Monthly,2013-01-01,2013-02-01,GBR
9638,Monthly,2010-05-18,2010-06-18,GBR
9638,Monthly,2010-06-18,2010-07-18,GBR
9638,Monthly,2010-07-18,2010-08-18,GBR
9638,Monthly,2010-11-18,2010-12-18,GBR
9638,Monthly,2010-08-18,2010-09-18,GBR
9638,Monthly,2010-12-18,2011-01-18,GBR
9638,Monthly,2010-09-18,2010-10-18,GBR
9638,Monthly,2011-01-18,2011-02-18,GBR
9638,Monthly,2010-10-18,2010-11-18,GBR
9638,Monthly,2011-02-18,2011-03-18,GBR
9638,Monthly,2011-03-18,2011-04-18,GBR
9638,Monthly,2011-04-18,2011-05-18,GBR
9638,Monthly,2011-05-18,2011-06-18,GBR
9638,Monthly,2011-06-18,2011-07-18,GBR
9638,Monthly,2011-07-18,2011-08-18,GBR
9638,Monthly,2011-08-18,2011-09-18,GBR
9638,Monthly,2011-09-18,2011-10-18,GBR
9638,Monthly,2011-10-18,2011-11-18,GBR
9893,Annual,2011-01-27,2012-01-27,GBR
9893,Annual,2012-02-08,2013-02-08,GBR
9969,Annual,2011-02-23,2012-02-23,GBR
10809,Annual,2012-01-17,2013-01-18,GBR
10809,Monthly,2013-03-18,2013-04-18,GBR
10809,Monthly,2013-03-18,2013-04-18,GBR
10810,Annual,2012-01-17,2013-01-18,GBR
10810,Monthly,2013-01-18,2013-02-18,GBR
10810,Monthly,2013-02-18,2013-03-18,GBR
10810,Monthly,2013-02-18,2013-03-18,GBR
10810,Monthly,2013-03-18,2013-04-18,GBR
10810,Monthly,2013-03-18,2013-04-18,GBR
10810,Monthly,2013-04-18,2013-05-18,GBR
10810,Monthly,2013-04-18,2013-05-18,GBR
10810,Monthly,2013-07-18,2013-08-18,GBR
10810,Monthly,2013-08-18,2013-09-18,GBR
10810,Monthly,2013-09-18,2013-10-18,GBR
10810,Monthly,2013-10-18,2013-11-18,GBR
10810,Monthly,2013-11-18,2013-12-18,GBR
10810,Monthly,2013-12-18,2014-01-18,GBR
10810,Monthly,2014-01-18,2014-02-18,GBR
10810,Monthly,2014-02-18,2014-03-18,GBR
10810,Monthly,2014-03-18,2014-04-18,GBR
10810,Monthly,2014-04-18,2014-05-18,GBR
10810,Monthly,2014-05-18,2014-06-18,GBR
10810,Monthly,2014-09-01,2014-10-01,GBR
10810,Monthly,2014-10-01,2014-11-01,GBR
10810,Monthly,2014-11-01,2014-12-01,GBR
10810,Monthly,2014-12-01,2015-01-01,GBR
11053,Monthly,2009-06-28,2009-07-28,GBR
11053,Monthly,2009-07-28,2009-08-28,GBR
11053,Monthly,2009-08-28,2009-09-28,GBR
11053,Monthly,2009-09-28,2009-10-28,GBR
11053,Monthly,2007-12-31,2008-01-31,GBR
11053,Monthly,2008-01-31,2008-02-29,GBR
11053,Monthly,2009-10-28,2009-11-28,GBR
11053,Monthly,2008-02-29,2008-03-29,GBR
11053,Monthly,2009-11-28,2009-12-28,GBR
11053,Monthly,2008-03-29,2008-04-30,GBR
11053,Monthly,2009-12-28,2010-01-28,GBR
11053,Monthly,2008-04-30,2008-05-30,GBR
11053,Monthly,2008-05-30,2008-06-30,GBR
11053,Monthly,2010-01-28,2010-02-28,GBR
11053,Monthly,2008-06-30,2008-07-30,GBR
11053,Monthly,2010-02-28,2010-03-28,GBR
11053,Monthly,2008-07-30,2008-08-30,GBR
11053,Monthly,2010-03-28,2010-04-28,GBR
11053,Monthly,2008-08-30,2008-09-30,GBR
11053,Monthly,2010-04-28,2010-05-28,GBR
11053,Monthly,2008-09-30,2008-10-30,GBR
11053,Monthly,2008-10-30,2008-11-30,GBR
11053,Monthly,2010-05-28,2010-06-28,GBR
