pupilId,subscription_type,subscription_start_date,subscription_end_date,codeCountry
985958,Monthly,2016-01-21,2016-02-21,GBR
985958,Monthly,2016-02-21,2016-03-21,GBR
985958,Monthly,2016-03-21,2016-04-21,GBR
985958,Monthly,2016-04-21,2016-05-21,GBR
985958,Monthly,2016-05-21,2016-06-21,GBR
987818,Monthly,2016-01-01,2016-02-01,GBR
987818,Monthly,2016-02-01,2016-03-01,GBR
987818,Monthly,2016-03-01,2016-04-01,GBR
987818,Monthly,2016-04-01,2016-05-01,GBR
987818,Monthly,2016-05-01,2016-06-01,GBR
987893,Monthly,2016-01-10,2016-02-10,GBR
987893,Monthly,2016-02-10,2016-03-10,GBR
987893,Monthly,2016-03-10,2016-04-10,GBR
987893,Monthly,2016-04-10,2016-05-10,GBR
988318,Monthly,2016-07-14,2016-08-14,GBR
988318,Monthly,2016-08-14,2016-09-14,GBR
988379,Monthly,2016-01-12,2016-02-12,GBR
988379,Monthly,2016-02-12,2016-03-12,GBR
988379,Monthly,2016-03-12,2016-04-12,GBR
988379,Monthly,2016-04-12,2016-05-12,GBR
988379,Monthly,2016-05-12,2016-06-12,GBR
988379,Monthly,2016-06-12,2016-07-12,GBR
988379,Monthly,2016-07-12,2016-08-12,GBR
988667,Monthly,2016-01-04,2016-02-04,GBR
988667,Monthly,2016-02-04,2016-03-04,GBR
988814,Annual,2016-01-18,2017-01-18,GBR
989420,Monthly,2016-01-07,2016-02-07,GBR
989420,Monthly,2016-02-07,2016-03-07,GBR
993500,Annual,2016-01-06,2017-01-06,GBR
993500,Annual,2017-01-06,2018-01-06,GBR
993672,Monthly,2016-04-12,2016-05-12,GBR
993672,Monthly,2016-05-12,2016-06-12,GBR
993672,Monthly,2016-06-12,2016-07-12,GBR
993672,Monthly,2016-07-12,2016-08-12,GBR
993672,Monthly,2016-08-12,2016-09-12,GBR
993932,Monthly,2016-01-10,2016-02-10,GBR
993932,Monthly,2016-02-10,2016-03-10,GBR
993932,Monthly,2016-03-10,2016-04-10,GBR
993932,Monthly,2016-04-10,2016-05-10,GBR
993932,Monthly,2016-05-10,2016-06-10,GBR
993932,Monthly,2016-06-10,2016-07-10,GBR
993932,Monthly,2016-07-10,2016-08-10,GBR
993932,Monthly,2016-08-10,2016-09-10,GBR
993932,Monthly,2016-09-10,2016-10-10,GBR
993932,Monthly,2016-10-10,2016-11-10,GBR
993932,Monthly,2016-11-10,2016-12-10,GBR
993932,Monthly,2016-12-10,2017-01-10,GBR
993932,Monthly,2017-01-10,2017-02-10,GBR
