age,topicId,number_of_ex,number_of_pb
500,AA,6,6
500,BA,5,5
500,FA,4,4
500,NA,3,3
500,QA,3,3
500,RA,2,2
525,AA,8,8
525,BA,6,6
525,FA,6,6
525,NA,4,4
525,QA,1,1
525,RA,2,2
550,AA,6,6
550,BA,5,5
550,FA,4,4
550,NA,3,3
550,QA,2,2
550,RA,4,4
575,AA,4,4
575,BA,4,4
575,FA,3,3
575,NA,3,3
575,QA,3,3
575,RA,4,4
600,AA,9,9
600,BA,6,6
600,EA,2,2
600,FA,4,4
600,NA,1,1
600,PA,1,1
600,QA,7,7
600,RA,3,3
625,AA,10,10
625,BA,6,6
625,EA,2,2
625,FA,4,4
625,NA,1,1
625,PA,1,1
625,QA,6,6
625,RA,3,3
650,AA,7,7
650,BA,5,5
650,EA,2,2
650,FA,9,9
650,NA,4,4
650,PA,1,1
650,QA,3,3
650,RA,2,2
675,AA,5,5
675,BA,5,5
675,EA,2,2
675,FA,7,7
675,NA,1,1
675,PA,1,1
675,QA,1,1
675,RA,2,2
700,AA,5,5
700,BA,3,3
700,CA,2,2
700,EA,1,1
700,FA,4,4
700,JA,2,2
700,KA,3,3
700,NA,1,1
700,PA,2,2
700,QA,5,5
700,RA,4,4
725,AA,4,4
725,BA,4,4
725,CA,2,2
725,EA,1,1
725,FA,2,2
725,JA,4,4
725,KA,2,2
725,NA,1,1
725,PA,1,1
725,QA,5,5
725,RA,4,4
750,AA,2,2
750,BA,5,5
750,CA,1,1
750,EA,1,1
750,FA,8,8
750,JA,2,2
750,KA,2,2
750,NA,2,2
750,PA,1,1
750,QA,1,1
750,RA,1,1
775,AA,2,2
775,BA,4,4
775,CA,1,1
775,EA,1,1
775,FA,7,7
775,JA,2,2
775,KA,1,1
775,NA,1,1
775,PA,3,3
775,QA,2,2
775,RA,4,4
800,AA,4,4
800,BA,1,1
800,CA,3,3
800,EA,1,0
800,FA,2,2
800,GA,1,1
800,HA,1,1
800,JA,1,0
800,KA,3,3
800,NA,1,1
800,PA,3,3
800,QA,4,4
800,RA,4,4
825,AA,3,3
825,BA,2,2
825,CA,4,4
825,EA,1,0
825,FA,3,3
825,GA,1,1
825,HA,1,1
825,JA,1,0
825,KA,2,2
825,NA,1,1
825,PA,1,1
825,QA,5,5
825,RA,4,4
850,AA,5,5
850,BA,2,2
850,CA,1,1
850,EA,1,0
850,FA,1,1
850,GA,2,2
850,HA,1,1
850,JA,3,0
850,KA,1,1
850,NA,1,1
850,PA,3,3
850,QA,1,1
850,RA,2,2
875,AA,3,3
875,BA,3,3
875,CA,2,2
875,EA,1,0
875,FA,6,6
875,GA,1,1
875,HA,1,1
875,JA,2,0
875,KA,5,5
875,NA,1,1
875,PA,2,2
875,QA,3,3
875,RA,4,4
900,AA,7,7
900,BA,3,3
900,CA,3,3
900,DA,2,2
900,EA,1,0
900,FA,1,1
900,GA,1,1
900,HA,1,1
900,JA,3,0
900,KA,1,1
900,LA,1,1
900,MA,4,4
900,NA,1,1
900,PA,3,3
900,QA,5,5
900,RA,5,5
925,AA,3,3
925,BA,6,6
925,CA,1,1
925,DA,3,3
925,EA,1,0
925,FA,2,2
925,GA,1,1
925,HA,1,1
925,JA,5,0
925,KA,1,1
925,LA,1,1
925,MA,1,1
925,NA,1,1
925,PA,2,2
925,QA,5,5
925,RA,8,8
950,AA,7,7
950,BA,4,4
950,CA,1,1
950,DA,4,4
950,EA,1,0
950,FA,1,1
950,GA,1,1
950,HA,2,2
950,JA,6,0
950,KA,1,1
950,LA,1,1
950,MA,2,2
950,NA,1,1
950,PA,2,2
