,num_subscriptions,num_subscriptions_annual,num_subscriptions_monthly,res_subscriptions_length,res_subscriptions_length_ann,res_subscriptions_length_mon,num_ccl_mon,num_ccl_ann,num_rnl_a2a,num_rnl_a2m,num_rnl_m2a,num_rnl_m2m,num_rtn_a2a,num_rtn_a2m,num_rtn_m2a,num_rtn_m2m,num_new_mon,num_new_ann
2014-01-01,,,,,,,,,,,,,,,,,2.0,1.0
2014-01-02,,,,,,,,,,,,,,,,,1.0,3.0
2014-01-03,,,,,,,,,,,,,,,,,5.0,0.0
2014-01-04,,,,,,,,,,,,,,,,,6.0,5.0
2014-01-05,,,,,,,,,,,,,,,,,4.0,4.0
2014-01-06,,,,,,,,,,,,,,,,,3.0,1.0
2014-01-07,,,,,,,,,,,,,,,,,2.0,5.0
2014-01-08,,,,,,,,,,,,,,,,,2.0,2.0
2014-01-09,,,,,,,,,,,,,,,,,3.0,1.0
2014-01-10,,,,,,,,,,,,,,,,,0.0,5.0
2014-01-11,,,,,,,,,,,,,,,,,1.0,0.0
2014-01-12,,,,,,,,,,,,,,,,,5.0,1.0
2014-01-13,,,,,,,,,,,,,,,,,2.0,4.0
2014-01-14,,,,,,,,,,,,,,,,,4.0,2.0
2014-01-15,,,,,,,,,,,,,,,,,4.0,0.0
2014-01-16,,,,,,,,,,,,,,,,,1.0,1.0
2014-01-17,,,,,,,,,,,,,,,,,4.0,2.0
2014-01-18,,,,,,,,,,,,,,,,,3.0,2.0
2014-01-19,,,,,,,,,,,,,,,,,3.0,1.0
2014-01-20,,,,,,,,,,,,,,,,,1.0,2.0
2014-01-21,,,,,,,,,,,,,,,,,4.0,2.0
2014-01-22,,,,,,,,,,,,,,,,,4.0,3.0
2014-01-23,,,,,,,,,,,,,,,,,3.0,1.0
2014-01-24,,,,,,,,,,,,,,,,,5.0,1.0
2014-01-25,,,,,,,,,,,,,,,,,2.0,2.0
2014-01-26,,,,,,,,,,,,,,,,,2.0,4.0
2014-01-27,,,,,,,,,,,,,,,,,4.0,3.0
2014-01-28,,,,,,,,,,,,,,,,,2.0,5.0
2014-01-29,,,,,,,,,,,,,,,,,4.0,2.0
2014-01-30,,,,,,,,,,,,,,,,,1.0,0.0
2014-01-31,,,,,,,,,,,,,,,,,2.0,0.0
2014-02-01,,,96.0,,,16.5625,0.0,,,,0.0,2.0,,,0.0,0.0,6.0,2.0
2014-02-02,,,97.0,,,16.298969072164947,0.0,,,,0.0,1.0,,,0.0,0.0,2.0,0.0
2014-02-03,,,106.0,,,16.735849056603772,0.0,,,,0.0,5.0,,,0.0,0.0,5.0,2.0
2014-02-04,,,109.0,,,17.431192660550458,1.0,,,,0.0,5.0,,,0.0,0.0,3.0,1.0
2014-02-05,,,109.0,,,18.027522935779817,0.0,,,,0.0,4.0,,,0.0,0.0,2.0,1.0
2014-02-06,,,107.0,,,17.88785046728972,1.0,,,,1.0,2.0,,,0.0,0.0,0.0,0.0
2014-02-07,,,109.0,,,17.908256880733944,0.0,,,,1.0,2.0,,,0.0,0.0,3.0,4.0
2014-02-08,,,113.0,,,17.849557522123895,0.0,,,,0.0,2.0,,,0.0,0.0,4.0,8.0
2014-02-09,,,123.0,,,18.308943089430894,0.0,,,,0.0,3.0,,,0.0,0.0,9.0,0.0
2014-02-10,,,126.0,,,18.27777777777778,1.0,,,,0.0,0.0,,,0.0,0.0,6.0,0.0
2014-02-11,,,127.0,,,17.598425196850393,0.0,,,,0.0,1.0,,,0.0,0.0,1.0,0.0
2014-02-12,,,132.0,,,17.28787878787879,2.0,,,,0.0,2.0,,,0.0,0.0,4.0,1.0
2014-02-13,,,130.0,,,17.20769230769231,0.0,,,,0.0,2.0,,,0.0,0.0,1.0,0.0
2014-02-14,,,133.0,,,16.93233082706767,0.0,,,,0.0,4.0,,,0.0,0.0,1.0,0.0
2014-02-15,,,137.0,,,17.16058394160584,0.0,,,,0.0,3.0,,,0.0,0.0,6.0,0.0
