pupilId,dob
655045,2006-03-15
655621,2004-02-08
655695,2003-02-27
655886,2009-03-27
655895,2008-01-17
655939,2009-05-15
655975,2004-08-24
656947,2005-10-11
657009,2005-02-23
657092,2002-12-16
658078,2008-07-04
658323,2008-09-05
658484,2004-10-15
658743,2004-11-06
658910,2003-07-07
659281,2005-12-07
659696,2004-09-12
659770,2006-07-19
660038,2005-02-11
660060,2003-07-03
660299,2007-03-03
660394,2009-09-24
660413,2005-08-22
660417,2006-02-17
660437,2006-03-16
660444,2006-09-21
660449,2008-06-16
660461,2004-11-22
660470,2003-12-19
660512,2003-04-19
660544,2005-08-18
660545,2004-03-03
660546,2002-10-30
660628,2002-04-19
660653,2007-03-19
660659,2004-08-18
660663,2006-01-22
660694,2007-10-21
660703,2002-02-25
660704,2008-09-19
660705,2008-09-19
660710,2003-05-01
660780,2005-08-05
660787,2007-02-28
660790,2006-12-15
660791,2008-12-16
660793,2005-02-21
660797,2006-08-24
660840,2009-01-03
660844,2007-11-09
660850,2008-09-20
660852,2006-11-28
660857,2007-09-12
660860,2008-04-27
660868,2007-01-18
660869,2003-05-04
660873,2007-08-17
660879,2007-08-17
660889,2004-08-27
660965,2005-01-19
660968,2008-08-20
660971,2006-03-08
660976,2008-06-23
660979,2008-03-19
660980,2006-09-28
661001,2006-08-13
661010,2000-11-15
661144,2004-01-02
661304,2007-08-20
661326,2008-07-31
661438,2004-07-13
661519,2007-06-22
661523,2005-03-30
661546,2005-05-14
661547,2006-07-23
661566,2007-03-19
661778,2008-07-13
661781,2007-10-09
661784,2005-08-30
661785,2008-02-20
661838,2006-10-07
661845,2003-04-04
661986,2004-08-22
662041,2000-08-16
662046,2007-04-20
662049,2003-01-22
662088,2009-02-02
662089,2005-03-21
662093,2007-06-11
662320,2008-07-08
662333,2002-01-07
662334,2007-05-17
662335,2007-04-16
662452,2007-01-01
662462,2007-07-24
662463,2006-04-15
662480,2007-08-08
662490,2007-08-06
662508,2006-08-12
662514,2007-08-21
662520,2002-01-26
662521,2004-05-25
662533,2007-11-09
662535,2004-07-17
662540,2005-11-09
662546,2005-07-11
662548,2003-01-31
662557,2002-03-19
662584,2005-06-01
662604,2010-07-16
662785,2003-04-26
662799,2007-11-21
662808,2006-08-03
662827,2005-05-23
662885,2006-10-16
662903,2007-11-13
662914,2004-08-02
662919,2007-05-22
662925,2005-08-21
662966,2003-08-06
663044,2007-12-03
663047,2005-11-19
663103,2005-06-15
663228,2003-09-20
663234,2005-09-26
663415,2008-02-06
663492,2009-08-13
663515,2005-01-15
663545,2006-04-12
663547,2005-12-07
663592,2007-07-15
663642,2003-02-14
663643,2008-04-22
663683,2007-12-22
663692,2005-01-07
663792,2008-06-29
663797,2006-08-22
663806,2005-11-01
663811,2007-04-26
663819,2009-07-12
663825,2002-07-19
663839,2006-09-17
663840,2004-10-08
663846,2004-12-03
663876,2003-03-22
663917,2007-02-20
663942,2003-06-02
664037,2007-01-03
664292,2006-04-30
664300,2007-10-26
664313,2007-08-12
664329,2008-10-21
664335,2007-03-27
664339,2008-10-22
664345,2009-01-07
664363,2008-07-04
664468,2008-04-04
664496,2002-11-29
664591,2006-04-19
664632,2009-09-21
664638,2007-02-12
664691,2004-11-01
664702,2005-10-17
664769,2009-07-13
664840,2004-09-24
664863,2004-10-27
664870,2007-05-10
664872,2007-09-18
665433,2005-11-29
665439,2007-10-10
665459,2006-11-14
665476,2006-12-30
665479,2006-07-20
665480,2003-09-23
665491,2004-03-29
665510,2005-04-02
665543,2007-12-11
665549,2007-08-08
665562,2002-11-22
665574,2009-03-14
665589,2004-01-22
665608,2007-12-02
665615,2003-11-26
