pupilId,subscription_type,subscription_start_date,subscription_end_date,codeCountry
655045,Monthly,2014-01-13,2014-02-13,GBR
655045,Monthly,2014-02-13,2014-03-13,GBR
655045,Monthly,2014-03-13,2014-04-13,GBR
655045,Monthly,2014-04-13,2014-05-13,GBR
655045,Monthly,2014-05-13,2014-06-13,GBR
655045,Monthly,2014-06-13,2014-07-13,GBR
655045,Monthly,2014-07-13,2014-08-13,GBR
655045,Monthly,2014-08-13,2014-09-13,GBR
655045,Monthly,2014-09-13,2014-10-13,GBR
655045,Monthly,2014-10-13,2014-11-13,GBR
655045,Monthly,2014-11-13,2014-12-13,GBR
655045,Monthly,2014-12-13,2015-01-13,GBR
655045,Monthly,2015-01-13,2015-02-13,GBR
655621,Monthly,2014-01-03,2014-02-03,GBR
655621,Monthly,2014-02-03,2014-03-03,GBR
655621,Monthly,2014-03-03,2014-04-03,GBR
655621,Monthly,2014-04-03,2014-05-03,GBR
655621,Monthly,2014-05-03,2014-06-03,GBR
655621,Monthly,2014-06-03,2014-07-03,GBR
655621,Monthly,2014-07-03,2014-08-03,GBR
655695,Monthly,2014-01-06,2014-02-06,GBR
655695,Monthly,2014-02-06,2014-03-06,GBR
655695,Monthly,2014-03-06,2014-04-06,GBR
655695,Monthly,2014-04-06,2014-05-06,GBR
655695,Monthly,2014-05-06,2014-06-06,GBR
655886,Monthly,2014-10-21,2014-11-21,GBR
655886,Monthly,2014-11-21,2014-12-21,GBR
655886,Monthly,2014-12-21,2015-01-21,GBR
655886,Monthly,2015-01-21,2015-02-21,GBR
655886,Monthly,2015-02-21,2015-03-21,GBR
655886,Monthly,2015-03-21,2015-04-21,GBR
655886,Monthly,2015-04-21,2015-05-21,GBR
655886,Monthly,2015-05-21,2015-06-21,GBR
655895,Annual,2014-01-20,2015-02-03,GBR
655895,Annual,2015-01-05,2016-02-03,GBR
655895,Annual,2016-01-05,2017-02-03,GBR
655895,Annual,2017-02-03,2018-02-03,GBR
655895,Annual,2018-02-03,2019-02-03,GBR
655939,Monthly,2014-01-15,2014-02-15,GBR
655939,Monthly,2014-02-15,2014-03-15,GBR
655939,Monthly,2014-03-15,2014-04-15,GBR
655975,Monthly,2014-01-17,2014-02-17,GBR
655975,Monthly,2014-02-17,2014-03-17,GBR
655975,Monthly,2014-03-17,2014-04-17,GBR
655975,Monthly,2014-04-17,2014-05-17,GBR
655975,Monthly,2014-05-17,2014-06-17,GBR
655975,Monthly,2014-06-17,2014-07-17,GBR
655975,Monthly,2014-07-17,2014-08-17,GBR
655975,Monthly,2014-08-17,2014-09-17,GBR
655975,Monthly,2014-09-17,2014-10-17,GBR
656947,Annual,2014-01-28,2015-01-28,GBR
657009,Monthly,2014-01-12,2014-02-12,GBR
657092,Monthly,2014-01-03,2014-02-03,GBR
657092,Monthly,2014-02-03,2014-03-03,GBR
657092,Monthly,2014-03-03,2014-04-03,GBR
657092,Monthly,2014-04-03,2014-05-03,GBR
657092,Monthly,2014-05-03,2014-06-03,GBR
